x,y,area,height
1353,5525,0.04,1.576039215686251
1413,5519,0.635,1.576039215686251
1287,5521,0.2,2.576039215686251
1170,5473,0.06,1.576039215686251
1163,5451,0.06,1.576039215686251
1136,5445,0.545,1.576039215686251
110,5437,0.04,2.576039215686251
1260,5454,20.475,27.42396078431375
1134,5422,0.06,1.576039215686251
161,5426,0.2,2.576039215686251
95,5419,0.67,2.576039215686251
1126,5408,0.06,1.576039215686251
197,5408,0.06,2.576039215686251
95,5393,0.04,1.576039215686251
58,5386,0.06,1.576039215686251
1174,5374,12.545,21.42396078431375
1255,5348,11.475,24.42396078431375
146,5320,0.04,1.576039215686251
153,5312,0.09,1.576039215686251
168,5305,0.04,1.576039215686251
3233,5298,0.04,1.576039215686251
1082,5298,0.06,1.576039215686251
4228,5291,0.04,2.576039215686251
1214,5291,0.04,0.4239607843137492
146,5291,0.04,1.576039215686251
1116,5300,5.535,14.42396078431375
4279,5276,0.06,1.576039215686251
4228,5276,0.04,1.576039215686251
4195,5276,0.2,2.576039215686251
4206,5269,0.04,2.576039215686251
3288,5269,0.2,1.576039215686251
1075,5269,0.04,1.576039215686251
1049,5261,0.27,1.576039215686251
4242,5254,0.04,1.576039215686251
4207,5252,0.325,1.423960784313749
2926,5247,0.04,1.576039215686251
4235,5239,0.06,1.576039215686251
2911,5239,0.06,1.576039215686251
2845,5239,0.07000000000000001,1.576039215686251
1046,5239,0.06,1.576039215686251
4222,5234,0.485,1.576039215686251
4118,5232,0.04,1.576039215686251
3635,5232,0.04,1.576039215686251
1340,5285,49.405,26.42396078431375
3137,5231,0.06,2.576039215686251
3858,5225,0.18,1.576039215686251
2896,5225,0.06,1.576039215686251
3671,5217,0.51,1.576039215686251
3650,5217,0.06,1.576039215686251
4213,5210,0.04,1.576039215686251
3264,5236,18.955,23.42396078431375
548,5214,0.3,2.576039215686251
526,5214,0.32,2.576039215686251
4244,5215,2.07,2.576039215686251
3950,5203,0.04,1.576039215686251
3898,5203,0.06,1.576039215686251
2823,5203,0.04,1.576039215686251
4228,5195,0.06,1.576039215686251
4147,5195,0.06,1.576039215686251
570,5194,0.73,1.576039215686251
3902,5173,0.3,0.5760392156862508
556,5177,0.2,1.576039215686251
270,5173,0.09,1.576039215686251
234,5173,0.06,1.576039215686251
4140,5166,0.04,1.576039215686251
2838,5166,0.04,0.5760392156862508
1374,5176,5.11,10.42396078431375
4184,5162,0.18,1.576039215686251
3950,5159,0.04,1.576039215686251
1145,5197,13.295,16.42396078431375
453,5159,0.06,1.576039215686251
278,5159,0.04,1.576039215686251
4156,5160,1.265,6.423960784313749
3515,5156,0.975,4.423960784313749
4147,5144,0.06,1.576039215686251
66,5144,0.06,0.5760392156862508
3896,5142,1.435,2.423960784313749
4147,5130,0.04,1.576039215686251
237,5136,1.995,6.423960784313749
102,5130,0.06,1.576039215686251
1024,5130,0.08,2.576039215686251
526,5122,0.09,1.576039215686251
270,5122,0.09,1.576039215686251
1057,5163,43.11,26.42396078431375
1020,5115,0.36,2.576039215686251
1046,5111,0.36,1.576039215686251
3581,5157,56.23,28.42396078431375
519,5100,0.06,1.576039215686251
102,5100,0.09,1.576039215686251
3975,5115,17.555,2.576039215686251
2816,5093,0.04,1.576039215686251
530,5093,0.2,1.576039215686251
102,5086,0.06,1.576039215686251
7,5111,5.925,20.42396078431375
1448,5085,0.34,2.423960784313749
1406,5107,16.91,17.42396078431375
4154,5071,0.06,1.576039215686251
1411,5071,0.06,2.423960784313749
552,5056,0.3,1.576039215686251
501,5049,0.2,1.576039215686251
4107,5073,12.315,7.423960784313749
4146,5042,2.255,3.423960784313749
4114,5034,0.27,1.576039215686251
3170,5073,18.035,14.42396078431375
3131,5049,3.35,13.42396078431375
4220,5027,0.06,1.576039215686251
