Unnamed: 0,x,y,area,pixelValue,height,heights
0,2686,4721,721.5,145,10.2533333333331,tensor([[10.2619]])
1,2686,4721,716.5,145,9.725019607843478,tensor([[10.2622]])
2,705,4705,930.5,123,9.956156862744592,tensor([[10.2525]])
3,705,4705,926,123,9.526901960784471,tensor([[10.2527]])
4,3415,4713,1992.5,149,10.22031372549009,tensor([[10.2045]])
5,3415,4713,1984,149,10.40192156862759,tensor([[10.2049]])
6,3355,4702,742.5,149,10.38541176470562,tensor([[10.2610]])
7,3355,4702,739,149,10.2533333333331,tensor([[10.2611]])
8,2972,4695,857,147,9.774549019608004,tensor([[10.2558]])
9,2972,4695,854.5,147,10.28635294117612,tensor([[10.2559]])
10,3917,4705,965.5,146,10.28635294117612,tensor([[10.2509]])
11,3917,4705,960,146,10.2533333333331,tensor([[10.2512]])
12,2725,4696,1411.5,149,10.2533333333331,tensor([[10.2308]])
13,2725,4696,1407,149,10.13776470588209,tensor([[10.2310]])
14,2896,4684,811,147,10.20380392156858,tensor([[10.2579]])
15,2896,4684,807,147,10.2533333333331,tensor([[10.2581]])
16,3093,4702,4029,148,10.26984313725507,tensor([[10.1125]])
17,3093,4702,4021.5,148,10.26984313725507,tensor([[10.1129]])
18,2154,4685,736,146,10.22031372549009,tensor([[10.2613]])
19,2154,4685,729.5,146,10.28635294117612,tensor([[10.2616]])
20,554,4677,996.5,147,10.3358823529411,tensor([[10.2495]])
21,554,4677,993,147,10.3358823529411,tensor([[10.2497]])
22,4080,4674,842.5,150,10.36890196078411,tensor([[10.2565]])
23,4080,4674,839.5,150,10.18729411764707,tensor([[10.2566]])
24,363,4660,770.5,152,10.46796078431362,tensor([[10.2597]])
25,363,4660,767,152,10.00568627450957,tensor([[10.2599]])
26,3259,4651,874,147,9.741529411764532,tensor([[10.2551]])
27,3259,4651,870.5,147,10.28635294117612,tensor([[10.2552]])
28,2821,4653,825,146,10.18729411764707,tensor([[10.2573]])
29,2821,4653,818.5,146,10.18729411764707,tensor([[10.2576]])
30,2758,4653,697,152,10.30286274509808,tensor([[10.2630]])
31,2758,4653,694,152,10.3358823529411,tensor([[10.2632]])
32,2912,4637,1127.5,152,10.31937254901959,tensor([[10.2436]])
33,2912,4637,1123.5,152,10.26984313725507,tensor([[10.2438]])
34,4098,4633,1099,123,9.906627450980068,tensor([[10.2449]])
35,4098,4633,1092.5,123,9.923137254901576,tensor([[10.2452]])
36,2662,4633,954,148,9.923137254901576,tensor([[10.2514]])
37,2662,4633,950,148,9.824078431372527,tensor([[10.2516]])
38,3154,4619,1196.5,147,10.23682352941159,tensor([[10.2405]])
39,3154,4619,1191.5,147,9.840588235294035,tensor([[10.2407]])
40,304,4605,770,155,10.51749019607814,tensor([[10.2597]])
41,304,4605,767.5,155,10.38541176470562,tensor([[10.2599]])
42,344,4597,812.5,151,10.30286274509808,tensor([[10.2578]])
43,344,4597,810,151,10.28635294117612,tensor([[10.2579]])
44,3050,4599,1100,150,10.02219607843153,tensor([[10.2448]])
45,3050,4599,1094,150,10.28635294117612,tensor([[10.2451]])
46,3011,4591,680.5,148,10.38541176470562,tensor([[10.2638]])
47,3011,4591,677.5,148,10.35239215686261,tensor([[10.2639]])
48,2865,4591,708.5,149,10.23682352941159,tensor([[10.2625]])
49,2865,4591,706.5,149,10.2533333333331,tensor([[10.2626]])
50,3268,4568,961,147,10.30286274509808,tensor([[10.2511]])
51,3268,4568,957.5,147,9.873607843137052,tensor([[10.2513]])
52,463,4572,1856,152,9.510392156862965,tensor([[10.2107]])
53,463,4572,1851,152,9.972666666666557,tensor([[10.2109]])
54,3115,4551,947.5,152,10.41843137254909,tensor([[10.2517]])
55,3115,4551,944,152,10.26984313725507,tensor([[10.2519]])
56,623,4542,1359.5,145,10.41843137254909,tensor([[10.2331]])
57,623,4542,1353.5,145,9.857098039215543,tensor([[10.2334]])
58,4123,4540,912.5,149,9.394823529411497,tensor([[10.2533]])
59,4123,4540,910,149,10.22031372549009,tensor([[10.2534]])
60,3357,4535,675.5,152,10.35239215686261,tensor([[10.2640]])
61,3357,4535,673.5,152,10.41843137254909,tensor([[10.2641]])
62,4059,4533,739.5,151,10.48447058823513,tensor([[10.2611]])
63,4059,4533,735.5,151,10.20380392156858,tensor([[10.2613]])
64,2725,4551,2286.5,151,10.40192156862759,tensor([[10.1913]])
65,2725,4551,2279,151,10.2533333333331,tensor([[10.1916]])
66,233,4516,765.5,151,10.31937254901959,tensor([[10.2600]])
67,233,4516,761,151,10.23682352941159,tensor([[10.2602]])
68,2982,4500,1412,147,10.2533333333331,tensor([[10.2308]])
69,2982,4500,1408.5,147,10.13776470588209,tensor([[10.2309]])
70,2806,4492,713,145,9.873607843137052,tensor([[10.2623]])
71,2806,4492,709.5,145,10.20380392156858,tensor([[10.2625]])
72,3381,4496,815.5,148,10.30286274509808,tensor([[10.2577]])
73,3381,4496,812,148,10.38541176470562,tensor([[10.2579]])
74,2935,4492,1073,149,10.3358823529411,tensor([[10.2461]])
75,2935,4492,1067,149,10.2533333333331,tensor([[10.2463]])
76,3243,4480,1018.5,151,9.989176470588518,tensor([[10.2485]])
77,3243,4480,1015,151,9.526901960784471,tensor([[10.2487]])
78,1971,4483,1151.5,153,10.45145098039211,tensor([[10.2425]])
79,1971,4483,1146.5,153,10.41843137254909,tensor([[10.2427]])
80,478,4471,1416.5,154,10.20380392156858,tensor([[10.2305]])
81,478,4471,1413,154,10.2533333333331,tensor([[10.2307]])
82,220,4464,789,153,10.3358823529411,tensor([[10.2589]])
83,220,4464,786,153,10.35239215686261,tensor([[10.2590]])
84,3066,4450,839.5,145,10.18729411764707,tensor([[10.2566]])
85,3066,4450,835,145,10.23682352941159,tensor([[10.2568]])
86,2637,4457,873,146,10.1542745098036,tensor([[10.2551]])
87,2637,4457,867,146,10.28635294117612,tensor([[10.2554]])
88,2944,4448,949.5,148,9.857098039215543,tensor([[10.2516]])
89,2944,4448,945,148,10.3358823529411,tensor([[10.2518]])
90,3100,4421,716,151,9.824078431372527,tensor([[10.2622]])
91,3100,4421,713.5,151,10.30286274509808,tensor([[10.2623]])
92,463,4420,862,151,9.840588235294035,tensor([[10.2556]])
93,463,4420,857.5,151,9.378313725489988,tensor([[10.2558]])
94,1678,4427,1970.5,154,10.55050980392161,tensor([[10.2055]])
95,1678,4427,1964.5,154,10.53399999999965,tensor([[10.2058]])
96,556,4413,737,151,10.31937254901959,tensor([[10.2612]])
97,556,4413,734.5,151,10.45145098039211,tensor([[10.2614]])
